id,start_time,end_time,duration,window_id,window_class,window_title
59,2018-03-27 13:26:11,2018-03-27 13:26:17,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
60,2018-03-27 13:26:11,2018-03-27 13:26:17,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
61,2018-03-27 13:26:11,2018-03-27 13:26:17,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
62,2018-03-27 13:26:11,2018-03-27 13:26:17,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
63,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
64,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
65,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
66,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
67,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
68,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
69,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
70,2018-03-27 13:26:11,2018-03-27 13:26:19,8,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
71,2018-03-27 13:26:20,2018-03-27 13:26:20,0,41943540,urxvt,i3-tracker-rs: cargo run
72,2018-03-27 13:36:48,2018-03-27 13:36:48,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
73,2018-03-27 13:36:56,2018-03-27 13:36:56,0,41943540,urxvt,i3-tracker-rs: cargo run
74,2018-03-27 13:38:11,2018-03-27 13:38:11,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
75,2018-03-27 13:38:11,2018-03-27 13:38:13,2,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
76,2018-03-27 13:38:11,2018-03-27 13:38:15,4,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
77,2018-03-27 13:38:11,2018-03-27 13:38:17,6,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
78,2018-03-27 13:38:18,2018-03-27 13:38:18,0,41943540,urxvt,i3-tracker-rs: cargo run
79,2018-03-27 13:38:18,2018-03-27 13:38:18,0,48234497,code,main.rs - i3-tracker-rs - Visual Studio Code
